date,filter,symbol,direction,r_rank,trigger_time,entry_price,level_price,atr_ratio,pos_vs_open,stop_price,stop_source,stop_dist_pct,qual_huge,qual_stop,filterA_ok,filterB_ok,R_unit,target_price,exit_time,exit_price,exit_reason,realized_R,tie_stopfirst
2025-06-18,A,DMART,long,4,10:00,4168.0,4163.9,0.9498115685125303,above,4147.0,third_back,0.005038387715930902,True,True,True,True,21.0,4231.0,11:05,4147.0,stop,-1.0,False
2025-06-20,A,PREMIERENE,long,3,10:30,1013.9,1008.6,1.0357809368495041,above,1007.0,third_back,0.00680540487227535,True,True,True,True,6.899999999999977,1034.6,15:00,1021.4,time,1.086956521739134,False
2025-06-23,A,SUPREMEIND,long,1,10:55,4423.2,4414.3,0.898531120045106,above,4391.1,third_back,0.007257189365165368,True,True,True,True,32.099999999999454,4519.499999999998,15:00,4462.5,time,1.2242990654205872,False
2025-06-24,A,ULTRACEMCO,long,3,10:05,11707.0,11705.0,0.5267958573105578,above,11695.0,third_back,0.0010250277611685316,True,True,True,True,12.0,11743.0,10:15,11743.0,target,3.0,False
2025-06-25,A,INDHOTEL,long,4,10:40,784.55,784.2,0.6374426300429843,above,779.7,third_back,0.006181887706328353,True,True,True,True,4.849999999999909,799.0999999999997,15:00,783.05,time,-0.3092783505154697,False
2025-06-26,A,UPL,short,3,10:55,630.0,630.7,1.3699727060876654,below,634.0,swing_body,0.006349206349206349,True,True,True,True,4.0,618.0,12:00,634.0,stop,-1.0,False
2025-06-27,A,GODFRYPHLP,long,2,10:00,2981.0,2967.0,0.5508598201871902,above,2960.0,third_back,0.007044615900704461,True,True,True,True,21.0,3044.0,10:10,2960.0,stop,-1.0,False
2025-06-30,A,TORNTPHARM,short,1,10:00,3341.8,3351.9,0.850239998471737,below,3365.0,third_back,0.006942366389370943,True,True,True,True,23.199999999999818,3272.2000000000007,11:40,3365.0,stop,-1.0,False
2025-07-01,A,IDFCFIRSTB,long,3,10:35,75.2,74.99,1.1003924150948428,above,74.6,third_back,0.007978723404255433,True,True,True,True,0.6000000000000085,77.00000000000003,13:50,77.00000000000003,target,3.0,False
2025-07-02,A,GMRAIRPORT,long,1,10:00,88.3,87.7,0.9089105624687854,above,87.59,third_back,0.008040770101925184,True,True,True,True,0.7099999999999937,90.42999999999998,13:20,87.59,stop,-1.0,False
2025-07-03,A,GMRAIRPORT,short,3,10:20,88.97,89.05,0.6670715196155822,below,89.38,third_back,0.004608294930875538,True,True,True,True,0.4099999999999966,87.74000000000001,15:00,88.35,time,1.5121951219512433,False
2025-07-04,A,BOSCHLTD,long,1,10:20,35695.0,35670.0,0.8724368362434685,above,35420.0,third_back,0.007704160246533128,True,True,True,True,275.0,36520.0,11:40,35420.0,stop,-1.0,False
2025-07-07,A,DABUR,long,2,10:00,513.1,512.35,1.0763676478191875,above,509.45,third_back,0.00711362307542396,True,True,True,True,3.650000000000034,524.0500000000002,15:00,513.0,time,-0.027397260273978576,False
2025-07-08,A,KOTAKBANK,long,3,10:10,446.7,446.4,0.9596374224644356,above,445.1,third_back,0.003581822252070665,True,True,True,True,1.599999999999966,451.4999999999999,10:35,445.1,stop,-1.0,False
2025-07-09,A,PHOENIXLTD,short,4,10:05,1508.3,1511.2,1.18101132662495,below,1519.0,third_back,0.007094079427169692,True,True,True,True,10.700000000000045,1476.1999999999998,10:15,1519.0,stop,-1.0,False
