date,filter,symbol,direction,r_rank,trigger_time,entry_price,level_price,atr_ratio,pos_vs_open,stop_price,stop_source,stop_dist_pct,qual_huge,qual_stop,filterA_ok,filterB_ok,R_unit,target_price,exit_time,exit_price,exit_reason,realized_R,tie_stopfirst
2025-06-18,B,DMART,long,4,10:00,4168.0,4163.9,0.9498115685125303,above,4147.0,third_back,0.005038387715930902,True,True,True,True,21.0,4231.0,11:05,4147.0,stop,-1.0,False
2025-06-19,B,KEI,long,1,11:40,3607.9,3605.9,0.9351371751567613,above,3580.1,swing_body,0.007705313340170232,True,True,False,True,27.800000000000182,3691.3000000000006,12:35,3580.1,stop,-1.0,False
2025-06-20,B,PFC,long,1,10:00,411.35,409.2,1.0775821224349167,above,408.6,third_back,0.006685304485231554,True,True,False,True,2.75,419.6,12:25,408.6,stop,-1.0,False
2025-06-23,B,WAAREEENER,short,4,10:00,2948.0,2954.3,0.7255694639195969,below,2967.5,third_back,0.0066146540027137045,True,True,False,True,19.5,2889.5,15:00,2945.1,time,0.14871794871795338,False
2025-06-24,B,ULTRACEMCO,long,3,10:05,11707.0,11705.0,0.5267958573105578,above,11695.0,third_back,0.0010250277611685316,True,True,True,True,12.0,11743.0,10:15,11743.0,target,3.0,False
2025-06-25,B,INDHOTEL,short,4,10:05,780.3,781.0,1.0289022576949465,below,784.2,swing_body,0.004998077662437641,True,True,False,True,3.900000000000091,768.5999999999997,10:35,784.2,stop,-1.0,False
2025-06-26,B,UPL,short,3,10:55,630.0,630.7,1.3699727060876654,below,634.0,swing_body,0.006349206349206349,True,True,True,True,4.0,618.0,12:00,634.0,stop,-1.0,False
2025-06-27,B,GODFRYPHLP,long,2,10:00,2981.0,2967.0,0.5508598201871902,above,2960.0,third_back,0.007044615900704461,True,True,True,True,21.0,3044.0,10:10,2960.0,stop,-1.0,False
2025-06-30,B,TORNTPHARM,short,1,10:00,3341.8,3351.9,0.850239998471737,below,3365.0,third_back,0.006942366389370943,True,True,True,True,23.199999999999818,3272.2000000000007,11:40,3365.0,stop,-1.0,False
2025-07-01,B,IDFCFIRSTB,long,3,10:35,75.2,74.99,1.1003924150948428,above,74.6,third_back,0.007978723404255433,True,True,True,True,0.6000000000000085,77.00000000000003,13:50,77.00000000000003,target,3.0,False
2025-07-02,B,GMRAIRPORT,long,1,10:00,88.3,87.7,0.9089105624687854,above,87.59,third_back,0.008040770101925184,True,True,True,True,0.7099999999999937,90.42999999999998,13:20,87.59,stop,-1.0,False
2025-07-03,B,GMRAIRPORT,short,3,10:20,88.97,89.05,0.6670715196155822,below,89.38,third_back,0.004608294930875538,True,True,True,True,0.4099999999999966,87.74000000000001,15:00,88.35,time,1.5121951219512433,False
2025-07-04,B,MARICO,short,2,10:05,730.4,732.55,1.1985364182494345,below,736.8,third_back,0.008762322015334032,True,True,False,True,6.399999999999977,711.2,15:00,726.95,time,0.5390624999999912,False
2025-07-07,B,DABUR,long,2,10:00,513.1,512.35,1.0763676478191875,above,509.45,third_back,0.00711362307542396,True,True,True,True,3.650000000000034,524.0500000000002,15:00,513.0,time,-0.027397260273978576,False
2025-07-08,B,ADANIPOWER,short,4,10:00,119.2,119.3,0.859174309854622,below,119.7,third_back,0.0041946308724832215,True,True,False,True,0.5,117.7,10:25,119.7,stop,-1.0,False
2025-07-09,B,PHOENIXLTD,short,4,10:05,1508.3,1511.2,1.18101132662495,below,1519.0,third_back,0.007094079427169692,True,True,True,True,10.700000000000045,1476.1999999999998,10:15,1519.0,stop,-1.0,False
2025-07-10,B,NAM-INDIA,short,2,10:00,806.3,807.25,0.6675179343828557,below,810.5,third_back,0.005208979288106221,True,True,False,True,4.2000000000000455,793.6999999999998,10:40,810.5,stop,-1.0,False
2025-07-11,B,HINDUNILVR,long,2,10:00,2514.2,2511.5,0.6855544516641846,above,2515.2,third_back,0.0003977408320738207,True,True,True,True,1.0,2517.2,10:05,2515.2,stop,-1.0,True
2025-07-14,B,DIVISLAB,long,3,10:40,6723.5,6721.5,0.8936229815214151,above,6697.0,third_back,0.003941399568677028,True,True,False,True,26.5,6803.0,12:45,6803.0,target,3.0,False
2025-07-15,B,GODFRYPHLP,long,2,10:10,3189.0,3186.0,1.0453938456332759,above,3170.0,third_back,0.005957980558168705,True,True,True,True,19.0,3246.0,10:15,3170.0,stop,-1.0,False
2025-07-16,B,BIOCON,short,4,10:30,395.4,395.5,0.3696643134128756,below,396.0,third_back,0.0015174506828528648,True,True,True,True,0.6000000000000227,393.5999999999999,10:35,396.0,stop,-1.0,False
2025-07-17,B,GLENMARK,short,3,10:50,2193.2,2195.5,0.6013495560045635,below,2205.8,third_back,0.005745030093014939,True,True,False,True,12.600000000000364,2155.3999999999987,11:50,2205.8,stop,-1.0,False
2025-07-18,B,AXISBANK,long,1,10:05,1115.1,1114.6,0.6543723272697355,above,1112.5,third_back,0.0023316294502734366,True,True,True,True,2.599999999999909,1122.8999999999996,10:20,1112.5,stop,-1.0,False
2025-07-21,B,AUBANK,short,1,10:00,738.0,738.55,0.6817133654838805,below,740.75,third_back,0.0037262872628726286,True,True,True,True,2.75,729.75,10:05,740.75,stop,-1.0,False
2025-07-22,B,PNBHOUSING,short,4,10:20,1105.0,1105.4,1.3525788055649,below,1114.2,third_back,0.00832579185520366,True,True,False,True,9.200000000000045,1077.3999999999999,15:00,1088.3,time,1.815217391304344,False
2025-07-23,B,LODHA,short,1,10:10,1358.6,1359.0,0.4238763733269156,below,1361.0,third_back,0.0017665243633152444,True,True,True,True,2.400000000000091,1351.3999999999996,10:35,1351.3999999999996,target,3.0,False
2025-07-24,B,TATACONSUM,short,1,10:05,1071.1,1071.2,0.5191287143032353,below,1076.0,third_back,0.0045747362524508365,True,True,True,True,4.900000000000091,1056.3999999999996,10:25,1076.0,stop,-1.0,False
2025-07-25,B,PHOENIXLTD,long,3,10:00,1533.9,1521.2,1.4631211820664327,above,1520.7,third_back,0.008605515353021738,True,True,True,True,13.200000000000045,1573.5000000000002,10:50,1520.7,stop,-1.0,False
2025-07-28,B,KOTAKBANK,short,1,10:40,397.5,397.6,0.38349538851579046,below,398.6,swing_body,0.002767295597484334,True,True,True,True,1.1000000000000227,394.19999999999993,11:15,398.6,stop,-1.0,False
2025-07-29,B,INDUSINDBK,long,4,10:10,809.05,808.7,0.6393602302445647,above,806.0,third_back,0.0037698535319200975,True,True,True,True,3.0499999999999545,818.1999999999998,10:25,806.0,stop,-1.0,False
2025-07-30,B,BANKINDIA,long,4,10:40,111.71,111.69,0.571821592303219,above,111.44,third_back,0.0024169725181272584,True,True,True,True,0.269999999999996,112.51999999999998,10:45,111.44,stop,-1.0,False
2025-07-31,B,JIOFIN,long,1,11:00,329.8,329.7,0.9076982727579929,above,328.55,third_back,0.003790175864160097,True,True,True,True,1.25,333.55,11:35,328.55,stop,-1.0,False
