method,date,checkpoint,symbol,r_rank,r_factor,RS_sector,RS_market,direction,hit_2pct,max_up_pct,max_down_pct,open_0915,tv_link
S2_market_abs_rank,2025-06-18,09:25,POLYCAB,2.0,10.298028188119044,-0.016883376805163428,-0.019277792084592228,down,True,0.0046770421740182245,0.03556164825417305,6200.5,https://www.tradingview.com/chart/?symbol=NSE:POLYCAB
S2_market_abs_rank,2025-06-18,09:45,INDUSINDBK,7.0,2.919271538244663,0.03542758058739194,0.023615118376408954,up,True,0.04577959782409394,0.0030560479188313674,818.05,https://www.tradingview.com/chart/?symbol=NSE:INDUSINDBK
S2_market_abs_rank,2025-06-18,10:00,INDUSINDBK,9.0,3.1049197642004933,0.03639384869518807,0.02739022931563837,up,True,0.04577959782409394,0.0030560479188313674,818.05,https://www.tradingview.com/chart/?symbol=NSE:INDUSINDBK
S2_market_abs_rank,2025-06-18,10:15,INDUSINDBK,7.0,3.1478122671992463,0.037851252746986086,0.02965663613246764,up,True,0.04577959782409394,0.0030560479188313674,818.05,https://www.tradingview.com/chart/?symbol=NSE:INDUSINDBK
S2_market_abs_rank,2025-06-18,10:30,INDUSINDBK,6.0,3.038998952877026,0.04101384932213147,0.03111918945681677,up,True,0.04577959782409394,0.0030560479188313674,818.05,https://www.tradingview.com/chart/?symbol=NSE:INDUSINDBK
S2_market_abs_rank,2025-06-18,10:45,INDUSINDBK,6.0,3.1866984150496624,0.04101384932213147,0.030889276418858053,up,True,0.04577959782409394,0.0030560479188313674,818.05,https://www.tradingview.com/chart/?symbol=NSE:INDUSINDBK
S2_market_abs_rank,2025-06-18,11:00,INDUSINDBK,6.0,3.2795388845809463,0.04101384932213147,0.03014806646488667,up,True,0.04577959782409394,0.0030560479188313674,818.05,https://www.tradingview.com/chart/?symbol=NSE:INDUSINDBK
S2_market_abs_rank,2025-06-18,11:15,INDUSINDBK,6.0,3.224851438493354,0.04101384932213147,0.029347119711381427,up,True,0.04577959782409394,0.0030560479188313674,818.05,https://www.tradingview.com/chart/?symbol=NSE:INDUSINDBK
S2_market_abs_rank,2025-06-18,11:30,INDUSINDBK,6.0,3.2020998511529073,0.04101384932213147,0.02857180142863226,up,True,0.04577959782409394,0.0030560479188313674,818.05,https://www.tradingview.com/chart/?symbol=NSE:INDUSINDBK
S2_market_abs_rank,2025-06-19,09:25,IDEA,10.0,1.788690943758309,,-0.023932620557117815,down,True,0.0,0.0639880952380952,6.72,https://www.tradingview.com/chart/?symbol=NSE:IDEA
S2_market_abs_rank,2025-06-19,09:45,KPITTECH,3.0,2.871431578306794,,-0.018874686188365925,down,True,0.00209570380719525,0.058260565840028006,1431.5,https://www.tradingview.com/chart/?symbol=NSE:KPITTECH
S2_market_abs_rank,2025-06-19,10:00,SWIGGY,9.0,2.208484996765807,0.041403514404473395,0.02186054184713767,up,True,0.05609655739953364,0.006720614456178819,364.55,https://www.tradingview.com/chart/?symbol=NSE:SWIGGY
S2_market_abs_rank,2025-06-19,10:15,SWIGGY,7.0,2.40032945637227,0.048431493850056365,0.025192024375011005,up,True,0.05609655739953364,0.006720614456178819,364.55,https://www.tradingview.com/chart/?symbol=NSE:SWIGGY
S2_market_abs_rank,2025-06-19,10:30,SWIGGY,8.0,2.569537656744538,0.048431493850056365,0.026532305074843825,up,True,0.05609655739953364,0.006720614456178819,364.55,https://www.tradingview.com/chart/?symbol=NSE:SWIGGY
S2_market_abs_rank,2025-06-19,10:45,KPITTECH,2.0,4.34314480494887,,-0.029396230478098542,down,True,0.00209570380719525,0.058260565840028006,1431.5,https://www.tradingview.com/chart/?symbol=NSE:KPITTECH
S2_market_abs_rank,2025-06-19,11:00,KPITTECH,1.0,4.576133581556854,,-0.03068051679184621,down,True,0.00209570380719525,0.058260565840028006,1431.5,https://www.tradingview.com/chart/?symbol=NSE:KPITTECH
S2_market_abs_rank,2025-06-19,11:15,SWIGGY,3.0,3.248875983251169,0.06429559908350048,0.033185178956246,up,True,0.05609655739953364,0.006720614456178819,364.55,https://www.tradingview.com/chart/?symbol=NSE:SWIGGY
S2_market_abs_rank,2025-06-19,11:30,SWIGGY,3.0,3.381215166965001,0.06429559908350048,0.03477692213352445,up,True,0.05609655739953364,0.006720614456178819,364.55,https://www.tradingview.com/chart/?symbol=NSE:SWIGGY
